region,site,subsite,longitude,latitude,date_set,date_recovered,crop_type,crop_stage,biomass_comments,burrow_effort,burrow_total,burrow_comments
Dawson Valley,Namgoori (Leichardt Hwy),Namgoori (Leichardr Hwy),NA,NA,2013-05-29,2013-05-30,chickpea/mung beans,young (no flowers/head),"2,500 kg/ha",200,0,"NEW site - replaces 17-18 Wilga Park, which is now cattle grazing and locked gate.
Chickpeas sown into wheat stubble."
Dawson Valley,Namgoori (Leichardt Hwy),Namgoori (Leichardr Hwy),NA,NA,2013-05-29,2013-05-30,unburned/unmown road verge,n/a,">20,000 kg/ha",200,0,"NEW site - replaces 17-18 Wilga Park, which is now cattle grazing and locked gate.
Chickpeas sown into wheat stubble."
Dawson Valley,Namgoori 6 & 7,Namgoori 7,150.1252824,-24.6130926,2013-05-29,2013-05-30,chickpea/mung beans,young (no flowers/head),"2,500 kg/ha",200,0,site 7 results
Dawson Valley,Silverton 1 & 2,Silverton 1,150.1541161,-24.7677166,2013-05-29,2013-05-30,unburned/unmown road verge,n/a,>5000 kg/ha,200,0,Results from verge site 1
Dawson Valley,Silverton 1 & 2,Silverton 2,150.1541161,-24.7677166,2013-05-29,2013-05-30,sorghum,mature (flowers/heads),">20,000 kg/ha",200,0,Results from site 2 crop
Dawson Valley,Tallawanta 3 - 5,Tallawanta 3,150.1225787,-24.6134788,2013-05-29,2013-05-30,unburned/unmown road verge,n/a,">20,000 kg/ha",200,0,Site 3 results
Dawson Valley,Tallawanta 3 - 5,Tallawanta 4,150.1225787,-24.6134788,2013-05-29,2013-05-30,fallow (bare surface),fallow,>3000 kg/ha,200,0,Site 4 results
Dawson Valley,Toolangi 10 and 11,Toolangi 11,150.1499909,-24.58192,2013-05-29,2013-05-30,grazed stubble / mulch,n/a,">15,000 kg/ha",200,0,"site 11 results
Grazing paddock (60 = dense)"
Dawson Valley,Toolangi 12 - 14,Toolangi 13,150.1678061,-24.583776,2013-05-29,2013-05-30,sorghum,old (older than harvest maturity),">15,000 kg/ha",200,0,Site 13 results
Dawson Valley,Toolangi 8 and 9,Toolangi 8,150.1408231,-24.581067,2013-05-29,2013-05-30,sorghum,old (older than harvest maturity),">15,000 kg/ha",200,0,"Site 8 results
Crop should have been harvested weeks ago, paddock very weed infested, but weeds all dead."
CIA,Community Farm,Comm Farm,145.950979,-34.74063,2013-06-19,2013-06-20,wheat,seeding,NA,100,0,"Soil quite wet no cracks, no sign of mouse activity"
CIA,David Bellato,DBela,145.896168,-34.804647,2013-06-19,2013-06-20,fallow,NA,NA,200,0,"soil soft no cracks, no sign of mouse activity"
CIA,Ian Southerland,Ian South 1,145.767316,-34.901548,2013-06-19,2013-06-20,wheat,seeding,NA,100,0,"soil wet no cracks, no sign of mouse activity"
CIA,Shane Fraser,Shane Fras 1,145.987013,-34.949088,2013-06-19,2013-06-20,canola,seeding,NA,100,0,"soil wet no cracks, no sign of mouse activity."
Northern Mallee,Colin Aikman,CAik,141.870913,-35.218871,2013-06-21,2013-06-22,barley,seeding,NA,200,0,No sign of mouse activity
Northern Mallee,Colin Beer,CBee,141.293619,-35.231295,2013-06-21,2013-06-22,wheat,seeding,NA,100,0,No sign of mouse activity
Northern Mallee,David Allen,DAlle,141.194131,-35.271539,2013-06-21,2013-06-22,pasture,NA,NA,100,0,No sign of mouse activity
Northern Mallee,Jack Pryse,JPryse,141.948382,-35.152942,2013-06-21,2013-06-22,rye,seeding,NA,200,0,"No sign of mouse activity, Crop grazed"
Northern Mallee,Jim Wakefield,JWA TGCrop,142.021747,-35.098249,2013-06-21,2013-06-22,wheat,seeding,NA,100,0,No sign of mouse activity
Northern Mallee,Jim Wakefield,JWAF1Crop,142.021747,-35.098249,2013-06-21,2013-06-22,fence line,NA,NA,100,0,No sign of mouse activity
Northern Mallee,Jim Wakefield,JWAF2Scrub,142.021747,-35.098249,2013-06-21,2013-06-22,fence line,NA,NA,100,0,No sign of mouse activity
Northern Mallee,Jim Wakefield,JWB TGCrop,142.021747,-35.098249,2013-06-21,2013-06-22,wheat,seeding,NA,100,0,"No sign of mouse activity, good wheat crop"
Northern Mallee,Kieran Hayter,KHayt,141.710731,-35.181655,2013-06-21,2013-06-22,canola,seeding,NA,100,0,No sign of mouse activity
Northern Mallee,Robert McKee,RMcK,141.363881,-35.262963,2013-06-21,2013-06-22,barley,seeding,NA,100,0,No sign of mouse activity
Northern Mallee,Sam Parker,SPark,141.49689,-35.213419,2013-06-21,2013-06-22,lupins,seeding,NA,100,0,No sign of mouse activity
Northern Mallee,Tim Eichler,TEich,141.1232,-35.257329,2013-06-21,2013-06-22,vetch,seeding,NA,100,0,No sign of mouse activity
Northern Mallee,Trent Oakley,TOak,140.984085,-35.233253,2013-06-21,2013-06-22,barley,seeding,NA,100,0,No sign of mouse activity. 1 small area of mouse activity detected during the sowing of 13000 acres
Adelaide Plains,Brett Roberts LP,BRA,138.3706,-34.31261,2013-06-24,2013-06-25,wheat,seeding,NA,100,0,No sign of mouse activity
Adelaide Plains,Brett Roberts LP,BRB,138.3706,-34.31261,2013-06-24,2013-06-25,wheat,seeding,NA,100,0,No sign of mouse activity
Adelaide Plains,Brett Roberts WHP,BRC,138.25932,-34.34258,2013-06-24,2013-06-25,wheat,seeding,NA,100,0,No sign of mouse activity
Adelaide Plains,John Lush C,JLC,138.571,-34.39651,2013-06-24,2013-06-25,canola,seeding,NA,100,0,No sign of mouse activity
Adelaide Plains,John Lush HB,JLHB,138.69579,-34.35089,2013-06-24,2013-06-25,canola,seeding,NA,100,0,No sign of mouse activity
Adelaide Plains,John Lush M,JLA TG,138.59047,-34.37682,2013-06-24,2013-06-25,wheat,seeding,NA,100,0,No sign of mouse activity
Adelaide Plains,John Lush M,JLAF1Scrub,138.59047,-34.37682,2013-06-24,2013-06-25,fence line,NA,NA,100,0,No sign of mouse activity
Adelaide Plains,John Lush M,JLB TG,138.59047,-34.37682,2013-06-24,2013-06-25,wheat,seeding,NA,100,0,No sign of mouse activity
Adelaide Plains,John Lush M,JLBF2Crop,138.59047,-34.37682,2013-06-24,2013-06-25,fence line,NA,NA,100,0,No sign of mouse activity
Wimmera,Bernard Lindsay,BLind,142.480923,-36.183518,2013-06-27,2013-06-28,vetch,seeding,NA,200,0,No sign of mouse activity.
Wimmera,Brad Martin,BMart,142.490208,-36.070879,2013-06-27,2013-06-28,NA,NA,NA,200,0,"Transect 1, 1 burrow marked, 0 active."
Wimmera,Coree McFarlan,CMcF,142.4042,-36.27795,2013-06-27,2013-06-28,barley,seeding,NA,200,0,No sign of mouse activity.
Wimmera,Gavin Pulse,GPuls,142.314913,-36.632039,2013-06-27,2013-06-28,chick peas,seeding,NA,200,0,"Transect 1, 10 burrow marked, 0 active. Transect 2, 8 burrow marked, 0 active."
Wimmera,Glen Hose,GHos,142.421377,-35.893295,2013-06-27,2013-06-28,barley,seeding,NA,200,0,No sign of mouse activity.
Wimmera,Greg Ruwoldt,GRuw,142.356328,-36.515782,2013-06-27,2013-06-28,chick peas,seeding,NA,200,0,"Transect 1, 1 burrow marked, 0 active. Transect 2, 1 burrow marked, 0 active."
Wimmera,Kevin Munroe,KMun,142.363359,-35.999789,2013-06-27,2013-06-28,vetch,seeding,NA,200,0,No sign of mouse activity.
Wimmera,Mark Johns,MJoh,142.283535,-36.589878,2013-06-27,2013-06-28,lentils,seeding,NA,200,0,"Transect 1, 3 burrows marked, 0 active."
Wimmera,Peter Huttig,DHut,142.427022,-35.823004,2013-06-27,2013-06-28,barley,seedling,NA,200,0,No sign of mouse activity.
Wimmera,Rod Armstrong,RArm,142.392226,-36.433918,2013-06-27,2013-06-28,NA,NA,NA,200,0,No sign of mouse activity.
Wimmera,Trevor Robinson,TRob,142.392802,-36.353017,2013-06-27,2013-06-28,vetch,seeding,NA,200,0,"Transect 1, 4 burrow marked, 0 active."
Moree,Alawah,Alawah,150.076595,-28.978815,2013-09-14,2013-09-15,wheat,young (no flowers/head),21680 kg/ha,200,0,
Moree,Alawah,Alawah,150.076595,-28.978815,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,4000 kg/ha,200,0,
Moree,Bethlee,Bethlee,150.158165,-29.462759,2013-09-14,2013-09-15,wheat,young (no flowers/head),6280 kg/ha,200,0,
Moree,Bethlee,Bethlee,150.158165,-29.462759,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,5880 kg/ha,200,0,
Moree,Boonery,Boonery,149.99117,-29.00356,2013-09-14,2013-09-15,barley,young (no flowers/head),21680 kg/ha,200,0,
Moree,Boonery,Boonery,149.99117,-29.00356,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,7000 kg/ha,200,0,
Moree,Calrossie,Calrossie,150.07633,-29.006747,2013-09-14,2013-09-15,wheat,young (no flowers/head),12840 kg/ha,200,0,
Moree,Calrossie,Calrossie,150.07633,-29.006747,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,10500 kg/ha,200,0,
Moree,Coorong,Coonong,150.512658,-29.154781,2013-09-14,2013-09-15,chickpea/mung beans,young (no flowers/head),7800 kg/ha,200,0,
Moree,Coorong,Coonong,150.512658,-29.154781,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,6000 kg/ha,200,0,
Moree,Forest,Forest,150.13541,-29.178967,2013-09-14,2013-09-15,barley,young (no flowers/head),21500kg/ha,200,0,
Moree,Forest,Forest,150.13541,-29.178967,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,10160 kg/ha,200,0,
Moree,Leverton,Leverton,150.029643,-29.183199,2013-09-14,2013-09-15,barley,young (no flowers/head),21680 kg/ha,200,0,
Moree,Leverton,Leverton,150.029643,-29.183199,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,8640 kg/ha,200,0,
Moree,Tycannah,Tycanna,149.846743,-29.612732,2013-09-14,2013-09-15,wheat,young (no flowers/head),21040 kg/ha,200,0,
Moree,Tycannah,Tycanna,149.846743,-29.612732,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,6000 kg/ha,200,0,
Moree,Windoondilla,Windoondilla,149.832756,-29.74091,2013-09-14,2013-09-15,chickpea/mung beans,young (no flowers/head),8520 kg/ha,200,0,
Moree,Windoondilla,Windoondilla,149.832756,-29.74091,2013-09-14,2013-09-15,unburned/unmown road verge,n/a,8640 kg/ha,200,0,
Dawson Valley,Namgoori (Leichardt Hwy),Namgoori (Leichardr Hwy),NA,NA,2013-09-18,2013-09-19,chickpea/mung beans,mature (flowers/heads),12000 kg/ha,200,0,Replaces site 17-18
Dawson Valley,Namgoori (Leichardt Hwy),Namgoori (Leichardr Hwy),NA,NA,2013-09-18,2013-09-19,unburned/unmown road verge,n/a,15680 kg/ha,200,0,
Dawson Valley,Namgoori 6 & 7,Namgoori 7,150.1252824,-24.6130926,2013-09-18,2013-09-19,chickpea/mung beans,mature (flowers/heads),10040 kg/ha,200,0,
